DATE,GDP,GDP_PCH
1947-01-01,243.164,.
1947-04-01,245.968,1.15313
1947-07-01,249.585,1.47052
1947-10-01,259.745,4.07076
1948-01-01,265.742,2.30880
1948-04-01,272.567,2.56828
1948-07-01,279.196,2.43206
1948-10-01,280.366,0.41906
1949-01-01,275.034,-1.90180
1949-04-01,271.351,-1.33911
1949-07-01,272.889,0.56679
1949-10-01,270.627,-0.82891
1950-01-01,280.828,3.76939
1950-04-01,290.383,3.40244
1950-07-01,308.153,6.11950
1950-10-01,319.945,3.82667
1951-01-01,336.0,5.01805
1951-04-01,344.09,2.40774
1951-07-01,351.385,2.12008
1951-10-01,356.178,1.36403
1952-01-01,359.82,1.02252
1952-04-01,361.03,0.33628
1952-07-01,367.701,1.84777
1952-10-01,380.812,3.56567
1953-01-01,387.98,1.88229
1953-04-01,391.749,0.97144
1953-07-01,391.171,-0.14754
1953-10-01,385.97,-1.32960
1954-01-01,385.345,-0.16193
1954-04-01,386.121,0.20138
1954-07-01,390.996,1.26256
1954-10-01,399.734,2.23481
1955-01-01,413.073,3.33697
1955-04-01,421.532,2.04782
1955-07-01,430.221,2.06129
1955-10-01,437.092,1.59709
1956-01-01,439.746,0.60719
1956-04-01,446.01,1.42446
1956-07-01,451.191,1.16163
1956-10-01,460.463,2.05501
1957-01-01,469.779,2.02318
1957-04-01,472.025,0.47810
1957-07-01,479.49,1.58148
1957-10-01,474.864,-0.96478
1958-01-01,467.54,-1.54234
1958-04-01,471.978,0.94922
1958-07-01,485.841,2.93721
1958-10-01,499.555,2.82273
1959-01-01,510.33,2.15692
1959-04-01,522.653,2.41471
1959-07-01,525.034,0.45556
1959-10-01,528.6,0.67919
1960-01-01,542.648,2.65759
1960-04-01,541.08,-0.28895
1960-07-01,545.604,0.83611
1960-10-01,540.197,-0.99101
1961-01-01,545.018,0.89245
1961-04-01,555.545,1.93150
1961-07-01,567.664,2.18146
1961-10-01,580.612,2.28093
1962-01-01,594.013,2.30808
1962-04-01,600.366,1.06951
1962-07-01,609.027,1.44262
1962-10-01,612.28,0.53413
1963-01-01,621.672,1.53394
1963-04-01,629.752,1.29972
1963-07-01,644.444,2.33298
1963-10-01,653.938,1.47321
1964-01-01,669.822,2.42898
1964-04-01,678.674,1.32155
1964-07-01,692.031,1.96810
1964-10-01,697.319,0.76413
1965-01-01,717.79,2.93567
1965-04-01,730.191,1.72766
1965-07-01,749.323,2.62014
1965-10-01,771.857,3.00725
1966-01-01,795.734,3.09345
1966-04-01,804.981,1.16207
1966-07-01,819.638,1.82079
1966-10-01,833.302,1.66708
1967-01-01,844.17,1.30421
1967-04-01,848.983,0.57015
1967-07-01,865.233,1.91405
1967-10-01,881.439,1.87302
1968-01-01,909.387,3.17072
1968-04-01,934.344,2.74438
1968-07-01,950.825,1.76391
1968-10-01,968.03,1.80948
1969-01-01,993.337,2.61428
1969-04-01,1009.02,1.57882
1969-07-01,1029.956,2.07488
1969-10-01,1038.147,0.79528
1970-01-01,1051.2,1.25734
1970-04-01,1067.375,1.53872
1970-07-01,1086.059,1.75046
1970-10-01,1088.608,0.23470
1971-01-01,1135.156,4.27592
1971-04-01,1156.271,1.86010
1971-07-01,1177.675,1.85112
