Date,Open,High,Low,Close,Adj Close,Volume
1990-04-20,0.000000,5.481482,5.259259,5.333333,2.792206,7090200
1990-04-23,0.000000,5.407407,5.185185,5.296296,2.772815,1452100
1990-04-24,0.000000,5.333333,5.185185,5.185185,2.714644,711600
1990-04-25,0.000000,5.333333,5.111111,5.185185,2.714644,734500
1990-04-26,0.000000,5.333333,5.111111,5.185185,2.714644,467700
1990-04-27,0.000000,5.333333,5.111111,5.111111,2.675865,548200
1990-04-30,0.000000,5.259259,5.111111,5.185185,2.714644,55300
1990-05-01,0.000000,5.259259,5.111111,5.111111,2.675865,92400
1990-05-02,0.000000,5.259259,5.111111,5.148148,2.695254,415300
1990-05-03,0.000000,5.259259,5.111111,5.111111,2.675865,157500
1990-05-04,0.000000,5.259259,5.111111,5.148148,2.695254,167500
1990-05-07,0.000000,5.259259,5.185185,5.185185,2.714644,182200
1990-05-08,0.000000,5.481482,5.185185,5.481482,2.869769,274600
1990-05-09,0.000000,5.481482,5.259259,5.333333,2.792206,349600
1990-05-10,0.000000,5.555555,5.259259,5.481482,2.869769,494200
1990-05-11,0.000000,6.148148,5.407407,6.000000,3.141232,653500
1990-05-14,0.000000,6.074074,5.629630,5.629630,2.947330,371800
1990-05-15,0.000000,5.925926,5.703704,5.888889,3.083061,220900
1990-05-16,0.000000,5.925926,5.703704,5.777778,3.024892,280000
1990-05-17,0.000000,6.148148,5.777778,6.074074,3.180013,630400
1990-05-18,0.000000,6.148148,6.000000,6.148148,3.218793,201300
1990-05-21,0.000000,6.148148,6.000000,6.000000,3.141232,156700
1990-05-22,0.000000,6.148148,5.925926,6.148148,3.218793,434700
1990-05-23,0.000000,6.592593,6.074074,6.444445,3.373915,799200
1990-05-24,0.000000,6.666667,6.444445,6.555555,3.432086,303700
1990-05-25,0.000000,6.666667,6.444445,6.444445,3.373915,105400
1990-05-29,0.000000,6.962963,6.370370,6.814815,3.567818,720900
1990-05-30,0.000000,6.962963,6.740741,6.740741,3.529038,222900
1990-05-31,0.000000,6.962963,6.740741,6.888889,3.606601,259200
1990-06-01,0.000000,7.111111,6.888889,7.111111,3.722941,263800
1990-06-04,0.000000,7.111111,6.888889,6.962963,3.645381,97800
1990-06-05,0.000000,7.037037,6.740741,6.888889,3.606601,153900
1990-06-06,0.000000,7.185185,6.888889,6.962963,3.645381,407200
1990-06-07,0.000000,7.111111,6.888889,6.888889,3.606601,409900
1990-06-08,0.000000,7.037037,6.888889,7.037037,3.684161,242200
1990-06-11,0.000000,7.037037,6.888889,7.037037,3.684161,167400
1990-06-12,0.000000,7.185185,6.962963,7.185185,3.761722,197700
1990-06-13,0.000000,7.333333,7.111111,7.333333,3.839284,145300
1990-06-14,0.000000,7.333333,7.111111,7.333333,3.839284,236800
1990-06-15,0.000000,7.407407,7.185185,7.407407,3.878064,280300
1990-06-18,0.000000,7.481482,7.333333,7.407407,3.878064,105900
1990-06-19,0.000000,7.555555,7.333333,7.481482,3.916844,120300
1990-06-20,0.000000,7.481482,7.333333,7.333333,3.839284,37300
1990-06-21,0.000000,7.481482,7.185185,7.185185,3.761722,59500
1990-06-22,0.000000,7.333333,7.185185,7.185185,3.761722,50500
1990-06-25,0.000000,7.407407,6.962963,6.962963,3.671077,90600
1990-06-26,0.000000,7.148148,7.037037,7.037037,3.710128,85600
1990-06-27,0.000000,7.037037,6.814815,6.962963,3.671077,138300
1990-06-28,0.000000,6.962963,6.888889,6.962963,3.671077,62200
1990-06-29,0.000000,7.037037,6.888889,7.037037,3.710128,31000
1990-07-02,0.000000,6.962963,6.814815,6.962963,3.671077,33300
1990-07-03,0.000000,6.962963,6.814815,6.925926,3.651546,75600
1990-07-05,0.000000,6.962963,6.814815,6.814815,3.592967,249700
1990-07-06,0.000000,6.962963,6.740741,6.962963,3.671077,188500
1990-07-09,0.000000,7.555555,6.962963,7.259259,3.827292,260500
1990-07-10,0.000000,7.444445,7.259259,7.407407,3.905398,32400
1990-07-11,0.000000,7.407407,7.259259,7.407407,3.905398,13500
1990-07-12,0.000000,7.407407,7.333333,7.333333,3.866346,56200
1990-07-13,0.000000,7.407407,7.333333,7.407407,3.905398,51900
1990-07-16,0.000000,7.407407,7.333333,7.333333,3.866346,8200
1990-07-17,0.000000,7.407407,7.333333,7.407407,3.905398,19500
1990-07-18,0.000000,7.407407,7.185185,7.185185,3.788237,306600
1990-07-19,0.000000,7.259259,6.888889,6.888889,3.632020,147100
1990-07-20,0.000000,7.111111,6.814815,6.814815,3.592967,164200
1990-07-23,0.000000,6.888889,6.370370,6.370370,3.358645,140500
1990-07-24,0.000000,6.666667,6.370370,6.666667,3.514857,212100
1990-07-25,0.000000,6.740741,6.518518,6.703704,3.534384,38700
1990-07-26,0.000000,6.814815,6.592593,6.666667,3.514857,85200
1990-07-27,0.000000,6.814815,6.592593,6.814815,3.592967,39100
1990-07-30,0.000000,6.703704,6.666667,6.666667,3.514857,27000
1990-07-31,0.000000,6.814815,6.666667,6.740741,3.553913,112000
1990-08-01,0.000000,6.740741,6.518518,6.740741,3.553913,247600
1990-08-02,0.000000,6.666667,6.592593,6.592593,3.475806,124300
1990-08-03,0.000000,6.592593,5.555555,6.222222,3.280535,382600
1990-08-06,0.000000,6.370370,5.925926,6.074074,3.202427,87000
1990-08-07,0.000000,6.222222,6.000000,6.148148,3.241481,89700
1990-08-08,0.000000,6.222222,6.000000,6.222222,3.280535,625900
1990-08-09,0.000000,6.444445,6.222222,6.444445,3.397696,297100
1990-08-10,0.000000,6.518518,6.296296,6.444445,3.397696,108900
1990-08-13,0.000000,6.370370,6.296296,6.370370,3.358645,14800
1990-08-14,0.000000,6.370370,6.222222,6.222222,3.280535,11700
1990-08-15,0.000000,6.370370,6.222222,6.370370,3.358645,24400
1990-08-16,0.000000,6.370370,6.148148,6.148148,3.241481,82500
1990-08-17,0.000000,6.074074,5.703704,5.814815,3.065739,201100
1990-08-20,0.000000,5.925926,5.777778,5.925926,3.124319,75100
1990-08-21,0.000000,5.851852,5.481482,5.555555,2.929050,111600
1990-08-22,0.000000,5.703704,5.481482,5.481482,2.889997,265200
1990-08-23,0.000000,5.407407,4.740741,4.740741,2.499457,177400
1990-08-24,0.000000,5.185185,4.888889,5.000000,2.636144,224100
1990-08-27,0.000000,5.777778,5.185185,5.555555,2.929050,227400
1990-08-28,0.000000,5.703704,5.555555,5.703704,3.007157,14100
1990-08-29,0.000000,6.000000,5.629630,5.888889,3.104792,274200
1990-08-30,0.000000,6.074074,5.851852,5.851852,3.085265,203100
1990-08-31,0.000000,6.074074,5.851852,6.074074,3.202427,116100
1990-09-04,0.000000,5.925926,5.851852,5.925926,3.124319,73000
1990-09-05,0.000000,6.148148,5.925926,6.148148,3.241481,35700
1990-09-06,0.000000,6.222222,5.925926,6.222222,3.280535,23500
1990-09-07,0.000000,6.444445,6.000000,6.333333,3.339117,449100
1990-09-10,0.000000,6.592593,6.370370,6.592593,3.475806,36000
1990-09-11,6.592593,6.592593,6.592593,6.592593,3.475806,0
1990-09-12,0.000000,7.037037,6.444445,6.814815,3.592967,419800
1990-09-13,0.000000,7.037037,6.666667,6.666667,3.514857,121500
1990-09-14,0.000000,6.740741,6.518518,6.592593,3.475806,123700
1990-09-17,0.000000,6.740741,6.518518,6.592593,3.475806,108000
1990-09-18,0.000000,6.666667,6.444445,6.444445,3.397696,86400
1990-09-19,0.000000,6.592593,6.370370,6.592593,3.475806,103500
1990-09-20,0.000000,6.444445,6.370370,6.370370,3.358645,72400
1990-09-21,0.000000,6.370370,6.148148,6.148148,3.241481,44700
1990-09-24,0.000000,6.148148,5.925926,6.074074,3.228838,200400
1990-09-25,0.000000,6.444445,6.000000,6.444445,3.425718,79800
1990-09-26,0.000000,6.518518,6.296296,6.296296,3.346967,90600
1990-09-27,0.000000,6.518518,5.851852,6.074074,3.228838,182200
1990-09-28,0.000000,6.370370,5.851852,6.370370,3.386344,76500
1990-10-01,0.000000,6.592593,6.370370,6.555555,3.484783,233700
1990-10-02,0.000000,6.814815,6.592593,6.740741,3.583223,256000
1990-10-03,0.000000,6.740741,6.592593,6.592593,3.504471,17500
1990-10-04,0.000000,6.814815,6.518518,6.592593,3.504471,272700
1990-10-05,0.000000,6.592593,6.370370,6.555555,3.484783,195300
1990-10-08,0.000000,6.592593,6.444445,6.592593,3.504471,6700
1990-10-09,0.000000,6.592593,6.370370,6.370370,3.386344,23100
1990-10-10,0.000000,6.296296,6.296296,6.296296,3.346967,13000
1990-10-11,0.000000,6.444445,6.296296,6.444445,3.425718,10900
1990-10-12,0.000000,6.370370,6.111111,6.111111,3.248527,249300
1990-10-15,0.000000,6.296296,6.148148,6.148148,3.268214,14800
1990-10-16,0.000000,6.222222,5.925926,6.074074,3.228838,67000
1990-10-17,0.000000,6.074074,5.851852,5.925926,3.150086,256500
1990-10-18,0.000000,6.074074,6.074074,6.074074,3.228838,17100
1990-10-19,0.000000,6.222222,5.925926,6.000000,3.189463,39700
1990-10-22,0.000000,6.333333,6.000000,6.296296,3.346967,62100
1990-10-23,0.000000,6.370370,6.222222,6.296296,3.346967,33300
1990-10-24,0.000000,6.370370,6.296296,6.370370,3.386344,64800
1990-10-25,0.000000,6.222222,6.148148,6.222222,3.307590,25200
1990-10-26,0.000000,6.222222,6.074074,6.111111,3.248527,249900
1990-10-29,0.000000,6.518518,6.296296,6.370370,3.386344,167400
1990-10-30,0.000000,6.296296,5.629630,5.851852,3.110709,646200
1990-10-31,0.000000,6.074074,5.925926,6.074074,3.228838,64000
1990-11-01,0.000000,6.074074,5.703704,5.703704,3.031957,297600
1990-11-02,0.000000,5.851852,5.703704,5.740741,3.051646,124300
1990-11-05,0.000000,6.148148,5.703704,6.148148,3.268214,225000
1990-11-06,0.000000,6.222222,6.000000,6.148148,3.268214,16200
1990-11-07,0.000000,6.148148,6.000000,6.000000,3.189463,51900
1990-11-08,0.000000,6.148148,5.777778,5.851852,3.110709,132400
1990-11-09,0.000000,5.851852,5.703704,5.851852,3.110709,124200
1990-11-12,0.000000,5.925926,5.777778,5.777778,3.071335,124200
